condition,tiny,small,medium,large,avg_links
proximity,55.85,69.35,90.55,107.0,40.700624999999995
tsg,53.3,64.9,86.25,100.35,4.963421875000001
morph_v1,54.45,65.2,88.55,100.5,44.804375
morph_v2_no_bcm,52.65,62.8,86.9,100.55,46.458734375
morph_v2_no_reward,57.5,64.85,87.4,100.95,44.632125
morph_v2_no_neuro,54.6,62.35,83.6,100.35,46.160578125
morph_v2,51.2,64.25,87.1,101.35,48.401546875
full,55.4,64.6,84.2,99.15,130.75
